Resuming: 32,768 vectors already embedded with nomic-st-v1.5
  embedded   8,192 (+32,768 prior) @ 22 emb/sec | peakVRAM 4,207 MB | 6.3 min
Resuming: 40,960 vectors already embedded with nomic-st-v1.5
Resuming: 40,960 vectors already embedded with nomic-st-v1.5
  embedded   2,048 (+40,960 prior) @ 37 emb/sec | peakVRAM 2,562 MB | 0.9 min
  embedded   4,096 (+40,960 prior) @ 37 emb/sec | peakVRAM 2,761 MB | 1.8 min
  embedded   6,144 (+40,960 prior) @ 39 emb/sec | peakVRAM 2,761 MB | 2.6 min
  embedded   8,192 (+40,960 prior) @ 39 emb/sec | peakVRAM 2,761 MB | 3.5 min
  embedded  10,240 (+40,960 prior) @ 40 emb/sec | peakVRAM 2,761 MB | 4.3 min
  embedded  12,288 (+40,960 prior) @ 38 emb/sec | peakVRAM 3,036 MB | 5.4 min
  embedded  14,336 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,268 MB | 6.7 min
  embedded  16,384 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 7.6 min
  embedded  18,432 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 8.5 min
  embedded  20,480 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 9.5 min
  embedded  22,528 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 10.3 min
  embedded  24,576 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 11.3 min
  embedded  26,624 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 12.1 min
  embedded  28,672 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 13.0 min
  embedded  30,720 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 13.9 min
  embedded  32,768 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 14.7 min
  embedded  34,816 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 15.5 min
  embedded  36,864 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 16.4 min
  embedded  38,912 (+40,960 prior) @ 38 emb/sec | peakVRAM 3,673 MB | 17.3 min
  embedded  40,960 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 18.3 min
  embedded  43,008 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 19.6 min
  embedded  45,056 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 20.9 min
  embedded  47,104 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 21.9 min
  embedded  49,152 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 22.7 min
  embedded  51,200 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 23.6 min
  embedded  53,248 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 24.5 min
  embedded  55,296 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 25.3 min
  embedded  57,344 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 26.2 min
  embedded  59,392 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 27.1 min
  embedded  61,440 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 28.1 min
  embedded  63,488 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,673 MB | 29.0 min
  embedded  65,536 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 29.8 min
  embedded  67,584 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 30.7 min
  embedded  69,632 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 31.5 min
  embedded  71,680 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 32.4 min
  embedded  73,728 (+40,960 prior) @ 37 emb/sec | peakVRAM 3,673 MB | 33.3 min
  embedded  75,776 (+40,960 prior) @ 36 emb/sec | peakVRAM 3,788 MB | 35.1 min
  embedded  77,824 (+40,960 prior) @ 35 emb/sec | peakVRAM 3,788 MB | 37.5 min
Resuming: 118,784 vectors already embedded with nomic-st-v1.5
  embedded   2,048 (+118,784 prior) @ 35 emb/sec | peakVRAM 2,753 MB | 1.0 min
  embedded   4,096 (+118,784 prior) @ 36 emb/sec | peakVRAM 2,753 MB | 1.9 min
  embedded   6,144 (+118,784 prior) @ 34 emb/sec | peakVRAM 2,959 MB | 3.0 min
  embedded   8,192 (+118,784 prior) @ 32 emb/sec | peakVRAM 3,267 MB | 4.3 min
