  embedded   2,048 (+0 prior) @ 59 emb/sec | peakVRAM 1,744 MB | 0.6 min
  embedded   4,096 (+0 prior) @ 61 emb/sec | peakVRAM 1,761 MB | 1.1 min
  embedded   6,144 (+0 prior) @ 61 emb/sec | peakVRAM 2,032 MB | 1.7 min
  embedded   8,192 (+0 prior) @ 61 emb/sec | peakVRAM 2,032 MB | 2.2 min
  embedded  10,240 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 3.2 min
  embedded  12,288 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 3.8 min
  embedded  14,336 (+0 prior) @ 54 emb/sec | peakVRAM 2,355 MB | 4.4 min
  embedded  16,384 (+0 prior) @ 55 emb/sec | peakVRAM 2,355 MB | 5.0 min
  embedded  18,432 (+0 prior) @ 55 emb/sec | peakVRAM 2,355 MB | 5.6 min
  embedded  20,480 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 6.5 min
  embedded  22,528 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 7.1 min
  embedded  24,576 (+0 prior) @ 52 emb/sec | peakVRAM 2,355 MB | 7.9 min
  embedded  26,624 (+0 prior) @ 52 emb/sec | peakVRAM 2,355 MB | 8.5 min
  embedded  28,672 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 9.0 min
  embedded  30,720 (+0 prior) @ 54 emb/sec | peakVRAM 2,355 MB | 9.6 min
  embedded  32,768 (+0 prior) @ 54 emb/sec | peakVRAM 2,355 MB | 10.1 min
  embedded  34,816 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 11.0 min
  embedded  36,864 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 11.7 min
  embedded  38,912 (+0 prior) @ 53 emb/sec | peakVRAM 2,355 MB | 12.2 min
  embedded  40,960 (+0 prior) @ 50 emb/sec | peakVRAM 2,355 MB | 13.7 min
  embedded  43,008 (+0 prior) @ 50 emb/sec | peakVRAM 2,355 MB | 14.3 min
  embedded  45,056 (+0 prior) @ 50 emb/sec | peakVRAM 2,355 MB | 14.9 min
